Beschrijving,Aantal,Start date,Final date,Status,Vendor ,Categorie,Contactpersoon,Type product,Beursregio,Productcategorie
Ibis MFA - apps.ibiscloud.nl,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Ibis,bedrijfsapplicatie,Bas Dert,Closed source,ME,Gemeente Specifiek
Ibis Specificeren voor RAW,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Ibis,bedrijfsapplicatie,Bas Dert,Hardware,AF,Werkplek virtualisatie
Ibis Toegang - apps.ibiscloud.nl,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Ibis,bedrijfsapplicatie,Bas Dert,Open source,EU,Collaboration
Licentiekosten TSF Recruitment,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,IJK B.V.,bedrijfsapplicatie,Gary Jankowski,Closed source,VS,Datacenter
Formdesk Business Silver abonnement,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Innovero Software Solutions,bedrijfsapplicatie,Niels Angel,Hardware,EU,Back-up
plaece - Connector - Knooppunten,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Insiders Online B.V.,bedrijfsapplicatie,Tess Smolders,Open source,VS,ERP
"Ivengi beheer, support & onderhoud",1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Ivengi Benelux B.V.,bedrijfsapplicatie,Laurens-jan van Bruggen,Closed source,EU,Security
Beheeromgeving (abonnementsvorm),1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Ivengi Benelux B.V.,bedrijfsapplicatie,Laurens-jan van Bruggen,Hardware,VS,Data
Ivengi jaarlijkse kosten SLA,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Ivengi Benelux B.V.,bedrijfsapplicatie,Laurens-jan van Bruggen,Open source,EU,Gemeente Specifiek
Ivengi jaarlijkse kosten TPM,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Ivengi Benelux B.V.,bedrijfsapplicatie,Laurens-jan van Bruggen,Closed source,VS,Werkplek virtualisatie
Landgoed Hosting,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Landgoed,bedrijfsapplicatie,Wim Kosten,Hardware,EU,Collaboration
Gebruiksrecht Module Tendermanagement,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Mercell Nederland,bedrijfsapplicatie,Marianne Zwagerman,Open source,ASIA,Datacenter
Miro Enterprise User Licenses 1Y,20,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,"miro RealtimeBoard Inc., dba M",software,Amber Neecke,Closed source,ME,Back-up
Licentiekosten voor Orchestry per gebruiker,900,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Orchestry,software,Benny Houterman,Hardware,AF,ERP
P8 licentie renewal,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,P8 Software,bedrijfsapplicatie,Frans Bart,Open source,EU,Security
Proactis jaar 2025,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Proactis,bedrijfsapplicatie,Ronald Coppoolse,Closed source,VS,Data
Jaarlijkse kosten,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Roxit,bedrijfsapplicatie,Gerrie Eikenhout,Hardware,EU,Gemeente Specifiek
jaarabonnement gehele SPOTinfo datacatalogus,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Spotinfo,bedrijfsapplicatie,Marco van Antwerpen,Open source,VS,Werkplek virtualisatie
dg DIALOG BGT,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Sweco,bedrijfsapplicatie,Sander Schipper,Closed source,EU,Collaboration
RIS SQL Service Contract 1Y RNW,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Tangram,bedrijfsapplicatie,Merijn van den Berge,Hardware,VS,Datacenter
Tangram Internet Services (TIS) Manager,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Tangram,bedrijfsapplicatie,Merijn van den Berge,Open source,EU,Back-up
Tangram Servicekosten maatwerk,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Tangram,bedrijfsapplicatie,Merijn van den Berge,Closed source,VS,ERP
UNIT4 Crescendo 1Y RNW,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Unit4 Business Software Nether,bedrijfsapplicatie,Marianne Zwagerman,Hardware,EU,Security
UNIT4 Financials 1Y RNW,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Unit4 Business Software Nether,bedrijfsapplicatie,Marianne Zwagerman,Open source,ASIA,Data
Gebruik en onderhoud koppeling Xential,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Closed source,ME,Gemeente Specifiek
Gebruik en onderhoud xxllnc Koppelen (Koppel.app),1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Hardware,AF,Werkplek virtualisatie
Gebruik en onderhoud koppeling DSO SWF 2025,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Open source,EU,Collaboration
e-learing module A-Zaaksysteem (knoppentraining),1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Closed source,VS,Datacenter
Voorschot RvIG,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Hardware,EU,Back-up
Voorschot variabele kosten,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Open source,VS,ERP
Voorschotfactuur COMPET&T 2025,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Closed source,EU,Security
Gebruik en onderhoud koppeling iBabs,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Hardware,VS,Data
Gebruik en onderhoud koppeling ReadSoft,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Open source,EU,Gemeente Specifiek
Gebruik en onderhoud koppeling ValidSign,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Closed source,VS,Werkplek virtualisatie
Privacy en security dienstverlening 2025,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Hardware,EU,Collaboration
xllnc Zaken SaaS abonnement,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Open source,ASIA,Datacenter
xxllnc Featurewaaier zaakgericht,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Closed source,ME,Back-up
Zaaksysteem.nl - SWF API verlenging 2025,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,xxllnc,bedrijfsapplicatie,Laurens-jan van Bruggen,Hardware,AF,ERP
Verlenging DSO-STAM koppeling 2025,1,1/1/2025,12/31/2025,Batch 2: verlengingen op 31-12-2025,Yenlo Cloud Services B.V.,bedrijfsapplicatie,Laurens-jan van Bruggen,Open source,EU,Security
Sysdig - Secure - Annual CNAPP Enterprise,1,1/16/2025,1/15/2026,Batch 3: verlengingen vanaf 2026,Amazic,software,Benny Houterman,Closed source,VS,Data
BYT Rem SUP CU,12,2/1/2025,1/31/2026,Batch 3: verlengingen vanaf 2026,Exclusive networks Deutschland,software,Benny Houterman,Hardware,EU,Gemeente Specifiek
BYT Rem SUP CU Cloud,12,2/1/2025,1/31/2026,Batch 3: verlengingen vanaf 2026,Exclusive networks Deutschland,software,Benny Houterman,Open source,VS,Werkplek virtualisatie
gebruikt van de MVI database,1,2/1/2025,1/31/2026,Batch 3: verlengingen vanaf 2026,MVI Platform,bedrijfsapplicatie,Martin Scherpenisse,Closed source,EU,Collaboration
Adobe Illustrator,1,4/25/2025,2/12/2026,Batch 3: verlengingen vanaf 2026,Adobe,software,Benny Houterman,Hardware,VS,Datacenter
BYT Appl B-Series-VM SUB,1,3/1/2025,2/28/2026,Batch 3: verlengingen vanaf 2026,Exclusive networks Deutschland,bedrijfsapplicatie,Ronald Coppoolse,Open source,EU,Back-up
"GeoNetwork Enterprise Standard LIC, 1 Y",1,3/1/2025,2/28/2026,Batch 3: verlengingen vanaf 2026,Geocat bv,bedrijfsapplicatie,Sander Schipper,Closed source,VS,ERP
FME Licentie Professional,1,3/1/2025,2/28/2026,Batch 3: verlengingen vanaf 2026,Red Geographics,bedrijfsapplicatie,Sander Schipper,Hardware,EU,Security
Renewal of Maintenance for PowerShell Studio 2024,2,3/1/2025,2/28/2026,Batch 3: verlengingen vanaf 2026,Sapien,software,Benny Houterman,Open source,ASIA,Data
Keeper Connection Manager,20,3/13/2025,3/12/2026,Batch 3: verlengingen vanaf 2026,Ingram Micro B.V.,bedrijfsapplicatie,Ineke Houmes,Closed source,ME,Gemeente Specifiek
Digital Insights Platform,1,3/20/2025,3/19/2026,Batch 3: verlengingen vanaf 2026,Digital Insights Platform B.V.,bedrijfsapplicatie,Roland Klaassen,Hardware,AF,Werkplek virtualisatie
Morphisec Adaptive Exposure Man. Platform,1012,3/23/2025,3/22/2026,Batch 3: verlengingen vanaf 2026,Morphisec,software,Benny Houterman,Open source,EU,Collaboration
CorelDRAW GS Ent MNT RNW1Y (1-4),2,4/1/2025,3/30/2026,Batch 3: verlengingen vanaf 2026,Coreldraw,software,Benny Houterman,Closed source,VS,Datacenter
B3partners BRMO support en onderhoud,1,5/1/2025,4/30/2026,Batch 3: verlengingen vanaf 2026,B3partners,bedrijfsapplicatie,Aart Allemekinders,Hardware,EU,Back-up
plaece- Connector - UITDatabank,1,5/1/2025,4/30/2026,Batch 3: verlengingen vanaf 2026,Insiders Online B.V.,bedrijfsapplicatie,Tess Smolders,Open source,VS,ERP
RAFFLE,1,5/1/2025,4/30/2026,Batch 3: verlengingen vanaf 2026,Raffle.AI,bedrijfsapplicatie,Amber Neecke,Closed source,EU,Security
EA Corporate Floating Ed. Maintenance Renewal,6,5/1/2025,4/30/2026,Batch 3: verlengingen vanaf 2026,sparkx systems,bedrijfsapplicatie,Aart Allemekinders,Hardware,VS,Data
Supermetrics for Google Data Studio,1,5/6/2025,5/5/2026,Batch 3: verlengingen vanaf 2026,Supermetrics,bedrijfsapplicatie,Tess Smolders,Open source,EU,Gemeente Specifiek
MindManager Professional 1U SUB1Y,1,5/26/2025,5/25/2026,Batch 3: verlengingen vanaf 2026,Cloudland B.V.,bedrijfsapplicatie,Wim Kosten,Closed source,VS,Werkplek virtualisatie
Digitaal Participatie Platform,1,6/1/2025,5/31/2026,Batch 3: verlengingen vanaf 2026,Hoplr NV,bedrijfsapplicatie,Gerrie Eikenhout,Hardware,EU,Collaboration
MobaXterm Professional Edition,1,6/4/2025,6/4/2026,Batch 3: verlengingen vanaf 2026,Cloudland B.V.,software,Benny Houterman,Open source,ASIA,Datacenter
Mobatek MobaXterm Ann. MNT/ Updates RNW,1,6/4/2025,6/4/2026,Batch 3: verlengingen vanaf 2026,Cloudland B.V.,bedrijfsapplicatie,Tess Smolders,Closed source,ME,Back-up
Mentimeter Pro annual- 10 users renewal,1,6/21/2025,6/20/2026,Batch 3: verlengingen vanaf 2026,Cloudland B.V.,software,Benny Houterman,Hardware,AF,ERP
Mentimeter Pro,1,6/21/2025,6/20/2026,Batch 3: verlengingen vanaf 2026,Cloudland B.V.,software,Benny Houterman,Open source,EU,Security
Cookiefirst Basic Plan - Cookiebanner,1,6/24/2025,6/23/2026,Batch 3: verlengingen vanaf 2026,Cookiefirst,software,Benny Houterman,Closed source,VS,Data
iProtect op HyperV (User Rights),1,7/1/2025,6/30/2026,Batch 3: verlengingen vanaf 2026,TKH Security BV,software,Benny Houterman,Hardware,EU,Gemeente Specifiek
GeoCat Map- Standard,1,7/2/2025,7/1/2026,Batch 3: verlengingen vanaf 2026,Geocat bv,bedrijfsapplicatie,Amber Neecke,Open source,VS,Werkplek virtualisatie
Naris jaarlijke kosten licentie (compliance) jaar2,1,7/17/2025,7/16/2026,Batch 3: verlengingen vanaf 2026,Naris ,bedrijfsapplicatie,Roland Klaassen,Closed source,EU,Collaboration
NARIS Compliance,1,7/17/2025,7/16/2026,Batch 3: verlengingen vanaf 2026,Naris ,bedrijfsapplicatie,Roland Klaassen,Hardware,VS,Datacenter
NARIS Risiscomanagement,1,7/17/2025,7/16/2026,Batch 3: verlengingen vanaf 2026,Naris ,bedrijfsapplicatie,Roland Klaassen,Open source,EU,Back-up
NARIS 2FA,1,7/17/2025,7/16/2026,Batch 3: verlengingen vanaf 2026,Naris ,bedrijfsapplicatie,Roland Klaassen,Closed source,VS,ERP
"NedInfra Tekenen Plus, Single User, 1Y",1,7/20/2025,7/19/2026,Batch 3: verlengingen vanaf 2026,Cadac Group BV,bedrijfsapplicatie,Robin de Kam,Hardware,EU,Security
NedInfra Tekenen Plus NamedUserLic 1Y,5,7/20/2025,7/19/2026,Batch 3: verlengingen vanaf 2026,Cadac Group BV,bedrijfsapplicatie,Robin de Kam,Open source,ASIA,Data
MobaXterm Professional Edition,1,6/3/2025,7/23/2026,Batch 3: verlengingen vanaf 2026,Cloudland B.V.,software,Benny Houterman,Closed source,ME,Gemeente Specifiek
Base27 abonnement,1,8/1/2025,7/31/2026,Batch 3: verlengingen vanaf 2026,Axxemble,bedrijfsapplicatie,Hans Quist,Hardware,AF,Werkplek virtualisatie
Jaarabonnement Base27 Provincie Zeeland,1,8/1/2025,7/31/2026,Batch 3: verlengingen vanaf 2026,Axxemble,bedrijfsapplicatie,Aart Allemekinders,Open source,EU,Collaboration
WEM professional dedicated LIC per jaar,1,8/1/2025,7/31/2026,Batch 3: verlengingen vanaf 2026,EsperantoXL,bedrijfsapplicatie,Aart Allemekinders,Closed source,VS,Datacenter
WEM professional dedicated lic per jaar,1,8/1/2025,7/31/2026,Batch 3: verlengingen vanaf 2026,EsperantoXL,bedrijfsapplicatie,Roland Klaassen,Hardware,EU,Back-up
Cookiefirst Basic Plan - Cookiebanner,1,8/10/2025,8/9/2026,Batch 3: verlengingen vanaf 2026,Cookiefirst,software,Benny Houterman,Open source,VS,ERP
Third Party Authentication Package,1,8/14/2025,8/13/2026,Batch 3: verlengingen vanaf 2026,Specops Software AB,software,Benny Houterman,Closed source,EU,Security
Specops Breached Password Protection Sub,1,8/14/2025,8/13/2026,Batch 3: verlengingen vanaf 2026,Specops Software AB,software,Benny Houterman,Hardware,VS,Data
"Specops Password Policy, Subscript LIC",1,8/14/2025,8/13/2026,Batch 3: verlengingen vanaf 2026,Specops Software AB,software,Benny Houterman,Open source,EU,Gemeente Specifiek
Specops Service Desk Bundle,1,8/14/2025,8/13/2026,Batch 3: verlengingen vanaf 2026,Specops Software AB,software,Benny Houterman,Closed source,VS,Werkplek virtualisatie
Specops uReset Hybrid Edition,1,8/14/2025,8/13/2026,Batch 3: verlengingen vanaf 2026,Specops Software AB,software,Benny Houterman,Hardware,EU,Collaboration
Specops Breached Password Protection Sub,1,8/14/2025,8/13/2026,Batch 3: verlengingen vanaf 2026,Specops Software AB,software,Benny Houterman,Open source,ASIA,Datacenter
Foxit PDF Editor 100-499,200,8/15/2025,8/14/2026,Batch 3: verlengingen vanaf 2026,Copaco,software,Benny Houterman,Closed source,ME,Back-up
Foxit PDF Editor SUB1Y 36-99U,50,8/15/2025,8/14/2026,Batch 3: verlengingen vanaf 2026,Copaco,software,Benny Houterman,Hardware,AF,ERP
Code Two Email Signatures,1,8/19/2025,8/18/2026,Batch 3: verlengingen vanaf 2026,Cloudland B.V.,bedrijfsapplicatie,Bert Zanting,Open source,EU,Security
WithSecure Business Support service Advanced,1,8/24/2025,8/24/2026,Batch 3: verlengingen vanaf 2026,Ingram Micro B.V.,software,Benny Houterman,Closed source,VS,Data
WithSecure Elements EPP for ComputersPremium,1,8/24/2025,8/24/2026,Batch 3: verlengingen vanaf 2026,Ingram Micro B.V.,software,Benny Houterman,Hardware,EU,Gemeente Specifiek
WithSecure Elements EPP for Svrs Premium,1,8/24/2025,8/24/2026,Batch 3: verlengingen vanaf 2026,Ingram Micro B.V.,software,Benny Houterman,Open source,VS,Werkplek virtualisatie
WithSecure Elements EPP for Svrs Prem Compan,140,8/24/2025,8/24/2026,Batch 3: verlengingen vanaf 2026,Ingram Micro B.V.,software,Benny Houterman,Closed source,EU,Collaboration
Pro2 Access LogMeIn Pro2,1,8/27/2025,8/26/2026,Batch 3: verlengingen vanaf 2026,CloudLand B.V.,software,Benny Houterman,Hardware,VS,Datacenter
LogMeIn Pro2 Access SUB RNW,1,8/27/2025,8/26/2026,Batch 3: verlengingen vanaf 2026,CloudLand B.V.,bedrijfsapplicatie,Sander Schipper,Open source,EU,Back-up
Oracle Database Standard Edition 2,1,8/27/2025,8/26/2026,Batch 3: verlengingen vanaf 2026,Oracle BV,software,Benny Houterman,Closed source,VS,ERP
Betty Blocks Gebr. Applicatie Financ.Toezicht,1,9/1/2025,9/1/2026,Batch 3: verlengingen vanaf 2026,Betty Blocks,bedrijfsapplicatie,Hans Cijsouw,Hardware,EU,Security
Coosto Netherlands 12 Months RNW,1,9/9/2025,9/8/2026,Batch 3: verlengingen vanaf 2026,Coosto,bedrijfsapplicatie,Luana Goetheer,Open source,ASIA,Data
Coosto Netherlands 12 Months RNW,1,9/9/2025,9/8/2026,Batch 3: verlengingen vanaf 2026,Coosto,software,Benny Houterman,Closed source,ME,Gemeente Specifiek
Qualys Malware Detection Service 5U 1Y,1,9/15/2025,9/14/2026,Batch 3: verlengingen vanaf 2026,Qualys GmbH,software,Benny Houterman,Hardware,AF,Werkplek virtualisatie
Qualys Public,1,9/15/2025,9/14/2026,Batch 3: verlengingen vanaf 2026,Qualys GmbH,software,Benny Houterman,Open source,EU,Collaboration
Qualys Public Sector,1,9/15/2025,9/14/2026,Batch 3: verlengingen vanaf 2026,Qualys GmbH,software,Benny Houterman,Closed source,VS,Datacenter
Qualys VMDR Bundle,1,9/15/2025,9/14/2026,Batch 3: verlengingen vanaf 2026,Qualys GmbH,software,Benny Houterman,Hardware,EU,Back-up
Mergin Team Plan annual subscription,1,9/16/2025,9/16/2026,Batch 3: verlengingen vanaf 2026,Lutra Consulting Limited,software,Marco van Antwerpen,Open source,VS,ERP
Mergin Team Plan annual subscription,1,9/16/2025,9/16/2026,Batch 3: verlengingen vanaf 2026,Lutra Consulting Limited,software,Benny Houterman,Closed source,EU,Security
JAM TreeSize Pro MNT REN 1Y,5,9/24/2025,9/23/2026,Batch 3: verlengingen vanaf 2026,SparkDynamic GmbH,software,Benny Houterman,Hardware,VS,Data
"JAM TreeSize Pro 1U, MNT REN 1Y",5,9/24/2025,9/23/2026,Batch 3: verlengingen vanaf 2026,SparkDynamic GmbH,software,Benny Houterman,Open source,EU,Gemeente Specifiek
Citrix Software Renewal,1,9/26/2025,9/25/2026,Batch 3: verlengingen vanaf 2026,Arrow ECS BV,software,Benny Houterman,Closed source,VS,Werkplek virtualisatie
Citrix ADC VPX/BLX SUB 1Gb/s Advanced,2,9/26/2025,9/25/2026,Batch 3: verlengingen vanaf 2026,Arrow ECS BV,software,Benny Houterman,Hardware,EU,Collaboration
Mercell Intake Management ,1,10/1/2025,9/30/2026,Batch 3: verlengingen vanaf 2026,Mercell,bedrijfsapplicatie,Marianne Zwagerman,Open source,ASIA,Datacenter
Mercell Intake management,1,10/1/2025,9/30/2026,Batch 3: verlengingen vanaf 2026,Mercell,bedrijfsapplicatie,Tess Smolders,Closed source,ME,Back-up
Citrix ShareFile Advanced 0GB 1Y,80,10/4/2026,10/4/2026,Batch 3: verlengingen vanaf 2026,Arrow ECS BV,software,Benny Houterman,Hardware,AF,ERP
"Indexatie (4,8%, conform CBS, index J6202, 2023)",1,10/15/2025,10/14/2026,Batch 3: verlengingen vanaf 2026,Xential,bedrijfsapplicatie,Wim Minderhoud,Open source,EU,Security
Xential SaaS Subscription 1Y EN RNW,1,10/15/2025,10/14/2026,Batch 3: verlengingen vanaf 2026,Xential,bedrijfsapplicatie,Wim Minderhoud,Closed source,VS,Data
Sitecore Experience Platform - Bundle,1,10/24/2025,10/24/2026,Batch 3: verlengingen vanaf 2026,Sitecore,bedrijfsapplicatie,Amber Neecke,Hardware,EU,Gemeente Specifiek
Indesign Script Export Named Pages,1,11/14/2025,11/13/2026,Batch 3: verlengingen vanaf 2026,Adobe,software,Benny Houterman,Open source,VS,Werkplek virtualisatie
Datasnipper Licenties Intelligent Audit,1,2/6/2025,2/5/2027,Batch 3: verlengingen vanaf 2026,Datasnipper,bedrijfsapplicatie,Martin Scherpenisse,Closed source,EU,Collaboration
Jaarlijkse Licentie ABF-Swing studio jaar 2,1,5/1/2026,4/30/2027,Batch 3: verlengingen vanaf 2026,ABF Research,bedrijfsapplicatie,Luana Goetheer,Hardware,VS,Datacenter
Siteimprove Subscription Services,1,6/27/2025,6/27/2027,Batch 3: verlengingen vanaf 2026,Siteimprove,bedrijfsapplicatie,Ineke Houmes,Open source,EU,Back-up
